Salaire mensuel brut selon Année, Grande région, Branche économique, Position professionnelle, Sexe et Valeur centrale et intervalle interquartile;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;Médiane (Q2);
2016;2016;-1;Suisse;-1;Branche économique - total;-1;Position professionnelle - total;-1;Sexe - total;6502;
;;;;;;;;2;Homme;6830;
;;;;;;;;1;Femme;6011;
;;;;;;0;Cadre supérieur et moyen;-1;Sexe - total;10310;
;;;;;;;;2;Homme;10878;
;;;;;;;;1;Femme;8861;
;;;;;;3;Cadre inférieur;-1;Sexe - total;8328;
;;;;;;;;2;Homme;8760;
;;;;;;;;1;Femme;7580;
;;;;;;4;Responsable de l'exécution des travaux;-1;Sexe - total;6977;
;;;;;;;;2;Homme;7238;
;;;;;;;;1;Femme;6481;
;;;;;;5;Sans fonction de cadre;-1;Sexe - total;5935;
;;;;;;;;2;Homme;6121;
;;;;;;;;1;Femme;5607;
;;;;4.99;5-43 Secteur 2: production;-1;Position professionnelle - total;-1;Sexe - total;6304;
;;;;;;;;2;Homme;6452;
;;;;;;;;1;Femme;5570;
;;;;;;0;Cadre supérieur et moyen;-1;Sexe - total;9666;
;;;;;;;;2;Homme;9800;
;;;;;;;;1;Femme;8649;
;;;;;;3;Cadre inférieur;-1;Sexe - total;7871;
;;;;;;;;2;Homme;7940;
;;;;;;;;1;Femme;7349;
;;;;;;4;Responsable de l'exécution des travaux;-1;Sexe - total;6740;
;;;;;;;;2;Homme;6809;
;;;;;;;;1;Femme;6116;
;;;;;;5;Sans fonction de cadre;-1;Sexe - total;5924;
;;;;;;;;2;Homme;6048;
;;;;;;;;1;Femme;5280;
;;;;5;> 5-9 Industries extractives;-1;Position professionnelle - total;-1;Sexe - total;6198;
;;;;;;;;2;Homme;6198;
;;;;;;;;1;Femme;6220;
;;;;;;0;Cadre supérieur et moyen;-1;Sexe - total;10378;
;;;;;;;;2;Homme;10422;( )
;;;;;;;;1;Femme;X;
;;;;;;3;Cadre inférieur;-1;Sexe - total;7662;
;;;;;;;;2;Homme;7488;
;;;;;;;;1;Femme;X;
;;;;;;4;Responsable de l'exécution des travaux;-1;Sexe - total;6354;
;;;;;;;;2;Homme;6346;
;;;;;;;;1;Femme;X;
;;;;;;5;Sans fonction de cadre;-1;Sexe - total;5990;
;;;;;;;;2;Homme;5972;
;;;;;;;;1;Femme;6066;
;;;;10;> 10-11 Industries alimentaires / fabrication de boissons;-1;Position professionnelle - total;-1;Sexe - total;5296;
;;;;;;;;2;Homme;5680;
;;;;;;;;1;Femme;4685;
;;;;;;0;Cadre supérieur et moyen;-1;Sexe - total;8610;
;;;;;;;;2;Homme;9060;
;;;;;;;;1;Femme;6953;( )
;;;;;;3;Cadre inférieur;-1;Sexe - total;5752;
;;;;;;;;2;Homme;6068;( )
;;;;;;;;1;Femme;5070;
;;;;;;4;Responsable de l'exécution des travaux;-1;Sexe - total;5696;
;;;;;;;;2;Homme;5900;
;;;;;;;;1;Femme;5036;
;;;;;;5;Sans fonction de cadre;-1;Sexe - total;5079;
;;;;;;;;2;Homme;5400;
;;;;;;;;1;Femme;4550;
;;;;12;> 12 Fabrication de produits à base de tabac;-1;Position professionnelle - total;-1;Sexe - total;9784;( )
;;;;;;;;2;Homme;10208;( )
;;;;;;;;1;Femme;X;
;;;;;;0;Cadre supérieur et moyen;-1;Sexe - total;19736;( )
;;;;;;;;2;Homme;X;
;;;;;;;;1;Femme;X;
;;;;;;3;Cadre inférieur;-1;Sexe - total;X;
;;;;;;;;2;Homme;X;
;;;;;;;;1;Femme;X;
;;;;;;4;Responsable de l'exécution des travaux;-1;Sexe - total;X;
;;;;;;;;2;Homme;X;
;;;;;;;;1;Femme;X;
;;;;;;5;Sans fonction de cadre;-1;Sexe - total;8799;( )
;;;;;;;;2;Homme;9270;( )
;;;;;;;;1;Femme;X;
;;;;13;> 13-15 Industries du textile et de l'habillement;-1;Position professionnelle - total;-1;Sexe - total;5208;
;;;;;;;;2;Homme;5810;
;;;;;;;;1;Femme;4595;
;;;;;;0;Cadre supérieur et moyen;-1;Sexe - total;8653;
;;;;;;;;2;Homme;9370;
;;;;;;;;1;Femme;7350;( )
;;;;;;3;Cadre inférieur;-1;Sexe - total;7221;
;;;;;;;;2;Homme;7730;
;;;;;;;;1;Femme;5773;
;;;;;;4;Responsable de l'exécution des travaux;-1;Sexe - total;5812;
;;;;;;;;2;Homme;6113;
;;;;;;;;1;Femme;5118;
;;;;;;5;Sans fonction de cadre;-1;Sexe - total;4834;
;;;;;;;;2;Homme;5340;
;;;;;;;;1;Femme;4429;
;;;;16;> 16-18 Industries du bois et du papier / imprimerie;-1;Position professionnelle - total;-1;Sexe - total;5973;
;;;;;;;;2;Homme;6104;
;;;;;;;;1;Femme;5416;
;;;;;;0;Cadre supérieur et moyen;-1;Sexe - total;8000;
;;;;;;;;2;Homme;8072;
;;;;;;;;1;Femme;6931;
;;;;;;3;Cadre inférieur;-1;Sexe - total;6810;
;;;;;;;;2;Homme;6851;
;;;;;;;;1;Femme;6108;
;;;;;;4;Responsable de l'exécution des travaux;-1;Sexe - total;6146;
;;;;;;;;2;Homme;6263;
;;;;;;;;1;Femme;5873;
;;;;;;5;Sans fonction de cadre;-1;Sexe - total;5642;
;;;;;;;;2;Homme;5742;
;;;;;;;;1;Femme;5157;
